dim	coefficient
534	-0.0003051227
535	-0.067701414
536	0.016975254
537	-0.025895737
538	0.05205191
539	-0.041019563
540	-0.15059035
541	0.03509719
542	-0.083026305
543	-0.0037639793
544	-0.023464613
545	-0.04594362
546	0.05658819
547	-0.13154647
548	-0.056382667
549	0.09257152
550	0.010042759
551	-0.016395763
552	0.040979158
553	0.059141
554	-0.03144034
555	-0.016903935
556	-0.00050638616
557	-0.04565301
558	-0.022703659
559	-0.06457545
560	-0.02074711
561	-0.013963148
562	-0.041559786
563	0.040672213
564	-0.014116565
565	0.01719137
566	-0.048877157
567	-0.0122910235
568	0.096564256
569	-0.0483699
570	0.042756125
571	0.021681674
572	0.055198077
573	0.11865054
574	0.05153848
575	-0.016603703
576	0.0049256026
577	0.06603741
578	-0.042472105
579	-0.017289352
580	0.085374616
581	-0.03731142
582	-0.015155153
583	0.08900297
584	-0.115829825
585	0.09013672
586	0.107756205
587	-0.017912071
588	0.054609712
589	0.01931136
590	0.055482134
591	-0.08602898
592	-0.037061766
593	-0.08979612
594	-0.027993247
595	0.008953305
596	0.041722
597	-0.17531137
598	-0.004221106
599	-0.038911358
600	-0.042935874
601	0.07765897
602	-0.09413666
603	0.031632878
604	0.0052860808
605	0.0068647987
606	-0.05822286
607	0.027952436
608	0.03959413
609	-0.03568815
610	0.04799685
611	0.06088791
612	0.019512622
613	-0.076857924
614	-0.014819257
615	-0.054096717
616	0.0044363523
617	0.014655527
618	-0.037845347
619	-0.015497066
620	0.0013514296
621	0.13342373
622	0.08230736
623	0.06439088
624	0.0195306
625	-0.03619446
626	-0.012672693
627	0.057734083
628	-0.080623455
629	-0.05497039
630	-0.012834768
631	0.07618684
632	0.051835854
633	0.03482651
634	-0.07969354
635	-0.06477077
636	-0.00845919
637	0.042123564
638	0.0029235957
639	-0.095506996
640	-0.080151744
641	0.043364923
642	-0.05834928
643	-0.07357928
644	-0.05725789
645	-0.01018386
646	-0.07356228
647	-0.03998613
648	0.002420188
649	-0.025011534
650	-0.09367374
651	-0.025508875
652	0.057958454
653	-0.010128473
654	0.047326505
655	-0.09750229
656	0.08211343
657	-0.08934298
658	-0.042918038
659	-0.02007552
660	0.07782832
661	0.010310905
662	-0.062672794
663	-0.034146722
664	0.02371784
665	-0.02056801
666	-0.09425966
667	-0.016967822
668	0.023841776
669	0.11120908
670	-0.05371238
671	-0.022633068
